"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location","predicted_price","price_per_bedroom","normalized_price_per_bedroom","avg_price_per_bedroom"
8711813,1363,19463938,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",0,0,4,2,NA,105,NA,"Beautiful & quiet 4 room by lake","2017-06-22 20:02:37.237492",47.355213,8.555347,"0101000020E610000009DD2571561C2140990E9D9E77AD4740",176.742953330869,0.636549149347691,0.25,1.15787197389607
12667266,1363,13260498,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",3,4.5,4,1,NA,106,NA,"Maisonette-apartment in city-center","2017-06-22 20:02:36.033865",47.360911,8.521583,"0101000020E6100000944C4EED0C0B214022E2E65432AE4740",94.2669967550105,1.28522304439724,0.564705882352941,0.958496967772351
18543647,1363,24194282,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",0,0,2,1,NA,111,NA,"Modern and Central Apartment in Zurich","2017-06-22 20:02:36.019179",47.373603,8.530628,"0101000020E61000000CAF2479AE0F214000581D39D2AF4740",94.2669967550105,1.34584677290655,0.594117647058824,1.0475354856734
12958647,1363,7995729,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",10,4,2,1,NA,106,NA,"Cosy apartment next to the lake","2017-06-22 20:02:36.008875",47.361597,8.550272,"0101000020E61000001CCF6740BD19214076AA7CCF48AE4740",94.2669967550105,1.28522304439724,0.564705882352941,1.15787197389607
8893078,1363,46526965,"Entire home/apt",NA,"Zurich",NA,"Kreis 11",0,0,2,1,NA,106,NA,"Apartment Oerlikon, good connection","2017-06-22 20:02:34.683726",47.404651,8.549154,"0101000020E610000067EF8CB62A19214098A59D9ACBB34740",94.2669967550105,1.28522304439724,0.564705882352941,0.874852422750352
16585455,1363,5353572,"Entire home/apt",NA,"Zurich",NA,"Kreis 11",3,5,2,1,NA,122,NA,"MODERN APARTMENT - CENTRAL LOCATION!","2017-06-22 20:02:34.679928",47.41135,8.546689,"0101000020E6100000782AE09EE7172140D49AE61DA7B44740",94.2669967550105,1.47921897562701,0.658823529411765,0.874852422750352
6830362,1363,10909210,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",20,5,3,1,NA,105,NA,"Central, yet quiet and charming","2017-06-22 20:02:34.662866",47.369889,8.50651,"0101000020E6100000A5315A47550321403813D38558AF4740",94.2669967550105,1.27309829869538,0.558823529411765,0.958496967772351
5540153,1363,28729747,"Entire home/apt",NA,"Zurich",NA,"Kreis 1",18,4.5,2,1,NA,116,NA,"2 room app im Kreis 1","2017-06-22 20:02:33.271174",47.37384,8.545241,"0101000020E61000006EE00ED429172140E4F736FDD9AF4740",94.2669967550105,1.40647050141585,0.623529411764706,1.34136192073295
12298185,1363,18079735,"Entire home/apt",NA,"Zurich",NA,"Kreis 10",0,0,2,1,NA,115,NA,"Lovely flat, garden & view in Zurich Höngerberg","2017-06-22 20:02:33.266955",47.406051,8.481931,"0101000020E61000006EDBF7A8BFF6204009C1AA7AF9B34740",94.2669967550105,1.39434575571399,0.617647058823529,0.855560213272917
12000341,1363,32314043,"Entire home/apt",NA,"Zurich",NA,"Kreis 5",6,5,4,1,NA,116,NA,"Nice apartment in Zürich center!","2017-06-22 20:02:33.261951",47.389287,8.524019,"0101000020E61000001AF7E6374C0C214005E10A28D4B14740",94.2669967550105,1.40647050141585,0.623529411764706,1.08787573099284
18908964,1363,23846573,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",4,5,2,1,NA,111,NA,"cosy city-appartement with a view","2017-06-22 20:02:33.256080",47.371483,8.523328,"0101000020E61000008429CAA5F10B21408E0244C18CAF4740",94.2669967550105,1.34584677290655,0.594117647058824,0.958496967772351
10549148,1363,22080254,"Entire home/apt",NA,"Zurich",NA,"Kreis 1",15,5,3,1,NA,117,NA,"1,5 Room Flat at BELLEVUE Square","2017-06-22 20:02:31.252860",47.366665,8.542922,"0101000020E6100000CE8E54DFF91521403ECBF3E0EEAE4740",94.2669967550105,1.41859524711771,0.629411764705882,1.34136192073295
16196930,1363,44454492,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,4,2,NA,106,NA,"Grosszügige Stadtwohnung in angesagter Lage","2017-06-22 20:02:31.240632",47.368863,8.51957,"0101000020E610000027F73B14050A21402BDA1CE736AF4740",176.742953330869,0.642611522198621,0.252941176470588,0.958496967772351
16059813,1363,23777984,"Entire home/apt",NA,"Zurich",NA,"Kreis 12",0,0,2,1,NA,105,NA,"Lovely Big 2room apart.&balcony","2017-06-22 20:02:31.237999",47.406965,8.580436,"0101000020E610000095D74AE82E292140EECEDA6D17B44740",94.2669967550105,1.27309829869538,0.558823529411765,0.816875024148895
16940188,1363,110912825,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",4,4,2,1,NA,114,NA,"Gemütliche Wohnung am Stadtrand","2017-06-22 20:02:29.543406",47.331769,8.514513,"0101000020E6100000D4BB783F6E072140CF69166877AA4740",94.2669967550105,1.38222101001213,0.611764705882353,1.01930259240926
14904670,1363,1000123,"Entire home/apt",NA,"Zurich",NA,"Kreis 6",5,5,4,2,NA,106,NA,"Cozy apartment just a few minutes from city centre","2017-06-22 20:02:29.527607",47.389073,8.539252,"0101000020E6100000ED9A90D618142140D960E124CDB14740",176.742953330869,0.642611522198621,0.252941176470588,0.93380865951242
16934856,1363,98895312,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",11,4,2,1,NA,114,NA,"Modern, cozy with rooftop - where Zurich is fun","2017-06-22 20:02:29.521374",47.377042,8.52661,"0101000020E61000003D7E6FD39F0D2140F69B89E942B04740",94.2669967550105,1.38222101001213,0.611764705882353,1.0475354856734
18906983,1363,111294923,"Entire home/apt",NA,"Zurich",NA,"Kreis 6",0,0,3,2,NA,116,NA,"Studio in Zürich, nähe Oerlikon Bhf. (Hof220/1101)","2017-06-22 20:02:29.514678",47.402297,8.5362,"0101000020E6100000FB3A70CE88122140B323D5777EB34740",176.742953330869,0.703235250707925,0.282352941176471,0.93380865951242
551321,1363,2709967,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",21,5,2,1,NA,115,NA,"Zürich charming business/holiday","2017-06-22 20:02:27.438080",47.370083,8.513676,"0101000020E6100000EE7A698A000721401DE736E15EAF4740",94.2669967550105,1.39434575571399,0.617647058823529,0.958496967772351
8259694,1363,2552682,"Entire home/apt",NA,"Zurich",NA,"Kreis 6",1,0,2,1,NA,122,NA,"Apartment close to city centre","2017-06-22 20:02:27.430607",47.391162,8.540115,"0101000020E610000078280AF4891421400FB8AE9811B24740",94.2669967550105,1.47921897562701,0.658823529411765,0.93380865951242
6578784,1363,34415240,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",9,5,2,1,NA,122,NA,"Charming flat close to lake Zurich","2017-06-22 20:02:26.273519",47.355333,8.557376,"0101000020E61000008D261763601D214044183F8D7BAD4740",94.2669967550105,1.47921897562701,0.658823529411765,1.15787197389607
4049916,1363,4108411,"Entire home/apt",NA,"Zurich",NA,"Kreis 5",47,5,3,1,NA,114,NA,"charming apartment by the river","2017-06-22 20:02:26.271376",47.38981,8.527014,"0101000020E61000007B116DC7D40D2140AED3484BE5B14740",94.2669967550105,1.38222101001213,0.611764705882353,1.08787573099284
14209208,1363,69978814,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",10,4.5,2,1,NA,110,NA,"BEST NEIGHBORHOOD IN TOWN","2017-06-22 20:02:26.255885",47.355083,8.554804,"0101000020E6100000466117450F1C2140CB2E185C73AD4740",94.2669967550105,1.33372202720469,0.588235294117647,1.15787197389607
