uuid,source,orig_id,datetime_local,year,month,day,hour,lat,lon,sequence_img_count,sequence_index,sequence_id,hFoV,vFoV,heading,Beautiful,Boring,Depressing,Lively,Safe,Wealthy,Bird,Ground.Animal,Curb,Fence,Guard.Rail,Barrier,Wall,Bike.Lane,Crosswalk...Plain,Curb.Cut,Parking,Pedestrian.Area,Rail.Track,Road,Service.Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other.Rider,Lane.Marking...Crosswalk,Lane.Marking...General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike.Rack,Billboard,Catch.Basin,CCTV.Camera,Fire.Hydrant,Junction.Box,Mailbox,Manhole,Phone.Booth,Pothole,Street.Light,Pole,Traffic.Sign.Frame,Utility.Pole,Traffic.Light,Traffic.Sign..Back.,Traffic.Sign..Front.,Trash.Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On.Rails,Other.Vehicle,Trailer,Truck,Wheeled.Slow,Car.Mount,Ego.Vehicle,Total,url
e9a87c8c-e027-4a0a-a8eb-713d1104f072,Mapillary,299119188360170,2017-08-14 06:57:17.105000+02:00,2017,8,14,6,47.376154512362064,8.544933199882507,100,130,7EGcfEgGKBNgCMZOF1Pe1Q,56.32307710442345,43.75077283494509,153.37487792969,5.65,3.17,5.98,3.29,4.36,2.3,0,0,15392,0,0,0,608476,0,0,12304,0,0,428260,1037588,0,94756,0,424128,0,224,0,0,0,0,117500,0,0,159848,0,0,158272,0,0,0,0,5752,0,0,0,0,0,536,0,0,0,9172,0,0,0,14176,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,3088396,https://www.mapillary.com/app/?focus=photo&pKey=299119188360170
0238f559-8b4e-46b9-bcce-92646460ad6c,Mapillary,533153404518092,2019-03-17 13:30:17.363000+01:00,2019,3,17,13,47.37656863725147,8.537766337394714,364,536,NQAVenfsR1ufOPfqKzhrjQ,72.51297212146872,44.83621041016481,30.763885498047,3.67,1.39,1.95,7.83,1.9,1.82,0,0,30090,0,0,0,0,0,0,0,0,0,55476,365391,0,237366,0,711405,0,4122,0,0,0,0,12357,0,0,52299,0,0,90123,0,0,9018,0,0,0,0,0,0,0,0,0,0,0,55743,0,36942,0,0,5463,0,0,0,0,31278,0,0,0,0,0,0,0,0,589194,2286267,https://www.mapillary.com/app/?focus=photo&pKey=533153404518092
94c855fd-fc5d-40ae-a92a-bc19d8964c97,Mapillary,663714718577849,2022-11-04 09:17:00.794000+01:00,2022,11,4,9,47.37791270439638,8.541521430015564,282,66,Fqn98asb7DmjXoxUO6JpQP,73.02677381597796,58.08175108685103,169.7678978880732,2.59,3.6,7.5,3.93,3.61,4.52,0,0,26688,100832,0,0,28576,9360,0,13024,12324,0,0,213140,0,94224,0,534864,0,5900,0,0,0,44516,29796,0,0,1442660,0,0,24736,0,0,0,0,2684,0,0,0,0,0,0,0,0,1192,29136,0,155588,0,0,204260,0,0,0,744,70168,0,0,0,0,0,0,0,0,0,3044412,https://www.mapillary.com/app/?focus=photo&pKey=663714718577849
36429cea-7618-4ce8-8cdd-a1e428d8a168,Mapillary,1055236705086569,2022-04-15 16:13:07.500000+02:00,2022,4,15,16,47.382830971532144,8.527949452400208,294,56,pvXIwaPGiO1ADS2oz4EnLT,68.20669371939627,41.70257873721169,329.1738574995834,2.91,2.39,1.74,9.61,3.29,2.62,0,0,5448,0,0,0,0,0,0,0,25224,0,0,856644,0,8772,0,444852,0,0,142041,0,0,0,11202,0,0,136389,0,225,253530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13710,0,0,0,0,1953,0,199698,0,0,201654,0,0,0,0,0,0,0,0,0,2301342,https://www.mapillary.com/app/?focus=photo&pKey=1055236705086569
ab642ca9-fbf0-4206-9a27-60fc5fcdc5b8,Mapillary,498648968644857,2020-01-10 15:17:41.140000+01:00,2020,1,10,15,47.37299034554482,8.533555269241333,370,291,e6b6rnadxtkfap7wobd6zl_v01,63.44709007905915,49.74820899589724,293.30065917969,7.48,1.52,4.81,9.05,1.59,4.38,0,0,21848,0,0,0,0,0,0,0,0,0,67824,375428,0,48200,0,671916,0,16624,0,0,0,0,21584,0,0,396392,0,56956,1170640,0,0,0,0,54208,0,0,0,0,0,0,0,0,4652,21296,0,0,5360,3400,0,0,0,0,0,49636,0,0,0,0,0,0,0,26180,0,3012144,https://www.mapillary.com/app/?focus=photo&pKey=498648968644857
c624db41-05bd-4c51-bdce-e0833ebb9061,Mapillary,607767470959419,2022-08-12 19:41:21.500000+02:00,2022,8,12,19,47.37857019503375,8.542583584785461,500,356,MVQt1qXGr9pHjhLDOZYg4E,83.05255985568246,52.92738103809987,67.03968629920865,7.87,1.7,2.68,9.24,3.9,4.49,0,0,4758,0,0,0,0,0,0,0,0,0,110556,926935,0,7746,0,418623,0,1035,0,0,0,0,24045,0,0,54831,0,0,250131,0,0,0,0,6285,0,0,0,0,0,0,0,0,2691,0,0,7098,0,0,0,0,0,0,0,484775,0,0,0,0,0,6465,0,0,0,2305974,https://www.mapillary.com/app/?focus=photo&pKey=607767470959419
ae2a42a9-bf82-4fa1-b6c7-ca7ccf82dfd6,Mapillary,1437986126633277,2022-04-17 17:40:39.800000+02:00,2022,4,17,17,47.37533715106221,8.526999950408936,473,351,1aqUwQrnNXTlF9KgovfB8E,68.22503504951985,41.71572061296194,140.31364196394907,8.1,6.84,3.96,9.31,4.45,8.89,0,0,44289,0,0,0,7776,0,0,10386,0,0,71946,539991,0,237606,0,326079,0,0,3081,0,0,0,10221,0,0,169572,0,0,827922,0,0,0,0,7164,0,0,0,0,0,0,0,0,0,13773,0,0,0,2166,4749,0,6492,0,0,6684,0,0,0,0,0,0,0,0,0,2289897,https://www.mapillary.com/app/?focus=photo&pKey=1437986126633277
e3c840ca-3e0d-4fa2-95b1-e7ac3c74aed6,Mapillary,758493305558473,2022-04-16 10:55:57.200000+02:00,2022,4,16,10,47.37742593809023,8.533501625061035,368,121,1A5NegP2t3c7dbXOGpL9TZ,66.52412325891012,40.50413754330851,311.5265009454568,7.28,5.24,4.16,9.4,4.78,7.05,0,0,94383,21174,0,0,0,0,0,18429,0,0,0,1013511,0,195165,0,363030,0,87327,0,0,0,152415,18132,0,0,34884,0,3861,159654,0,0,0,0,7500,12234,0,0,0,0,0,0,0,0,34278,0,2229,528,5745,12915,7074,0,0,0,0,0,11124,0,0,0,0,0,0,0,2255592,https://www.mapillary.com/app/?focus=photo&pKey=758493305558473
91d110fc-3a59-40ec-823e-0f3ee53bcf5f,Mapillary,765384784175627,2015-01-31 12:24:03+01:00,2015,1,31,12,47.37898793344445,8.5306316614151,132,88,v6z7gs3preuvwr1tmdyj40,60.05872175879185,46.87590418681385,92.34625,8.76,2.87,8.41,5.16,4.41,5.75,0,0,29936,0,0,0,20192,0,0,0,0,0,0,470748,0,189852,0,1076672,0,33908,0,0,0,60988,0,0,0,632212,0,0,351288,0,0,0,0,10420,0,0,0,0,0,0,0,0,1084,73348,0,0,46928,0,1160,0,0,0,0,8084,0,0,0,0,0,0,0,0,0,3006820,https://www.mapillary.com/app/?focus=photo&pKey=765384784175627
d9277b3e-4558-407f-a862-6b8155877c95,Mapillary,1036771783889883,2022-04-16 16:09:38.517000+02:00,2022,4,16,16,47.37169338189989,8.54612410068512,99,41,xW8HnYR36SVK0r4dThk2gO,67.59270138607391,41.26361994543759,208.4901903115687,7.28,4.79,4.41,5.71,3.93,8.47,0,0,96645,0,0,0,78021,0,0,11805,0,0,0,953784,0,160974,0,729615,0,0,0,0,0,0,975,0,0,0,0,0,150621,0,6495,0,0,4365,0,0,0,0,0,0,0,0,1365,53904,0,0,0,6363,639,12942,0,0,0,52935,0,0,0,0,0,0,0,0,0,2321448,https://www.mapillary.com/app/?focus=photo&pKey=1036771783889883
73afcc45-3adb-40dd-864a-13c3502ae9aa,Mapillary,151216270273786,2018-12-04 13:06:05.841000+01:00,2018,12,4,13,47.369920450023386,8.539445400238037,168,132,8zUrSKKjTw6Z8uIEwPRjmw,65.86051390492617,51.81714069615384,248.96148681641,5.51,3.93,3.53,3.78,0.58,2.96,0,0,16040,0,0,0,28684,0,0,0,0,0,10740,1908740,0,0,0,713292,0,206392,0,0,0,304,29512,0,0,104268,0,0,29192,0,0,0,0,2932,0,0,0,0,0,20864,0,0,0,9748,0,0,0,0,5276,0,0,0,0,888,0,0,0,0,0,0,0,0,0,3086872,https://www.mapillary.com/app/?focus=photo&pKey=151216270273786
08cca4b6-ff2d-433a-ad10-87307bd2c9f1,Mapillary,128203596531570,2022-04-16 10:44:46.252000+02:00,2022,4,16,10,47.37875545334606,8.531447052955627,500,452,860IWLAb1hVC2olwj7sPDm,66.49729511705588,40.48514188456429,307.977779079796,8.83,3.46,1.96,7.03,7.52,5.87,0,0,108060,0,0,0,0,456543,0,11532,0,0,0,585390,0,91515,0,494094,0,4857,0,0,0,28386,85890,0,0,78252,0,525,262386,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,28638,0,0,18015,0,2802,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,2261493,https://www.mapillary.com/app/?focus=photo&pKey=128203596531570
341e6ef1-e204-4789-9dad-15e380f163ee,Mapillary,209135370750740,2015-10-16 11:40:48.176000+02:00,2015,10,16,11,47.37174061082749,8.533206582069397,21,16,Sj0ivzAwzG7uvb_yN9bCgA,62.34683587504826,48.811458811591976,226.1376,5.27,2.89,2.1,3.01,4.83,5.35,0,0,0,311052,0,0,0,0,0,0,0,3940,0,591808,0,6944,0,1453448,0,0,0,0,0,0,0,0,0,119764,0,0,592888,0,0,0,0,24,0,0,0,0,0,0,0,0,3408,37968,0,0,0,0,4512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125756,https://www.mapillary.com/app/?focus=photo&pKey=209135370750740
