room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17219441,1286,5715340,Entire home/apt,,Zurich,,Kreis 3,2,0.0,6,2.0,,173.0,,"Wohnung in Zürich, Wiedikon",2017-05-18 17:42:54.909012,47.371149,8.50902,0101000020E61000001405FA449E042140B87878CF81AF4740
7739547,1286,40667302,Entire home/apt,,Zurich,,Kreis 7,12,5.0,2,0.0,,168.0,,Garden Studio Apartment 1,2017-05-18 17:42:54.891657,47.378812,8.558944,0101000020E6100000429770E82D1E21408BAA5FE97CB04740
15849467,1286,22214648,Entire home/apt,,Zurich,,Kreis 6,0,0.0,5,2.0,,147.0,,Centrally located flat - a lovely family home,2017-05-18 17:42:54.840141,47.389998,8.537631,0101000020E6100000ADA1D45E44132140B1C05774EBB14740
15653745,1286,12886487,Entire home/apt,,Zurich,,Kreis 11,1,0.0,4,1.0,,178.0,,Nice 2.5 room Raspberry I Apartment,2017-05-18 17:42:54.791152,47.408338,8.546837,0101000020E61000004A7CEE04FB17214066DB696B44B44740
5732234,1286,29723833,Entire home/apt,,Zurich,,Kreis 8,13,4.5,4,1.0,,147.0,,Beautiful Apartment on the Lake,2017-05-18 17:42:54.756531,47.350918,8.559204,0101000020E6100000B39597FC4F1E2140F3C98AE1EAAC4740
2920806,1286,12886487,Entire home/apt,,Zurich,,Kreis 1,2,0.0,2,0.0,,178.0,,S4 - Charming 1 room apartment,2017-05-18 17:42:52.929682,47.375862,8.544366,0101000020E6100000D21BEE23B716214092E7FA3E1CB04740
15167261,1286,50348083,Entire home/apt,,Zurich,,Kreis 6,2,0.0,2,1.0,,158.0,,Swiss Star University - 1 bedroom apartment,2017-05-18 17:42:52.920147,47.382952,8.547625,0101000020E6100000AAF1D24D621821400AF8359204B14740
17167432,1286,78080747,Entire home/apt,,Zurich,,Kreis 9,0,0.0,4,2.0,,174.0,,Modern 4.5R Apartment with Parking & Garden,2017-05-18 17:42:52.918026,47.380072,8.49053,0101000020E6100000EC6987BF26FB20400A100533A6B04740
18048171,1286,23561865,Entire home/apt,,Zurich,,Kreis 8,7,5.0,4,1.0,,145.0,,1.5 BR flat next to lake/opera/city center (FB11),2017-05-18 17:42:52.899506,47.362972,8.549036,0101000020E61000003FA7203F1B1921408EAED2DD75AE4740
17854285,1286,23561865,Entire home/apt,,Zurich,,Kreis 1,0,0.0,4,1.0,,145.0,,Charming 1BD flat / old town UZ1,2017-05-18 17:42:50.910304,47.372062,8.545121,0101000020E6100000C3B986191A172140CC0A45BA9FAF4740
4946415,1286,25492897,Entire home/apt,,Zurich,,Kreis 4,19,4.5,3,1.0,,176.0,,Quiet Luxury Apartment Citycenter,2017-05-18 17:42:49.549822,47.376423,8.523519,0101000020E610000054ABAFAE0A0C21402A3BFDA02EB04740
620130,1286,3072679,Entire home/apt,,Zurich,,Kreis 10,3,4.5,4,1.0,,158.0,,NB1: Charming 2-room apartment,2017-05-18 17:42:49.384768,47.392325,8.52876,0101000020E6100000ADDD76A1B90E21409C33A2B437B24740
1981273,1286,425358,Entire home/apt,,Zurich,,Kreis 3,111,4.0,6,2.0,,146.0,,Joschi's Place (very central),2017-05-18 17:42:49.344888,47.360694,8.523118,0101000020E6100000DAE55B1FD60B214085EE92382BAE4740
15367403,1286,71846900,Entire home/apt,,Zurich,,Kreis 11,7,5.0,2,1.0,,168.0,,Exclusive apartment in a well located district,2017-05-18 17:42:49.342551,47.412253,8.538779,0101000020E61000000D8B51D7DA132140C556D0B4C4B44740
14861181,1286,5536039,Entire home/apt,,Zurich,,Kreis 4,1,0.0,2,1.0,,152.0,,Direkt im belebten Kreis 4,2017-05-18 17:42:47.659456,47.379292,8.526625,0101000020E61000001283C0CAA10D214035D1E7A38CB04740
11502393,1286,6250685,Entire home/apt,,Zurich,,Kreis 7,17,5.0,4,2.0,,184.0,,Beautiful Apartment @ Zurich Center,2017-05-18 17:42:46.376755,47.366195,8.554557,0101000020E6100000278925E5EE1B2140B77A4E7ADFAE4740
3306566,1286,16703823,Entire home/apt,,Zurich,,Kreis 3,44,4.5,2,0.0,,158.0,,⦁ STYLED JUNIOR STUDIOS next to SihlCity!,2017-05-18 17:42:46.349142,47.361213,8.521294,0101000020E6100000B933130CE70A2140EDF1423A3CAE4740
7656183,1286,40182660,Entire home/apt,,Zurich,,Kreis 4,20,5.0,2,1.0,,164.0,,"Modern, central and quiet apartment",2017-05-18 17:42:46.341952,47.375562,8.525531,0101000020E610000080113466120D214068CF656A12B04740
15156070,1286,50348083,Entire home/apt,,Zurich,,Kreis 11,2,0.0,2,0.0,,147.0,,Swiss Star Guesthouse Oerlikon - Suite,2017-05-18 17:42:44.456857,47.410093,8.541831,0101000020E6100000FFEA71DF6A152140C6A86BED7DB44740
12166613,1286,65349159,Entire home/apt,,Zurich,,Kreis 5,105,4.5,4,0.0,,158.0,,"Loft Zurich City, PULS 5",2017-05-18 17:42:44.442004,47.390749,8.516863,0101000020E610000060066344A2082140ECF82F1004B24740
1008597,1286,4529377,Entire home/apt,,Zurich,,Kreis 8,71,4.5,6,2.0,,181.0,,Penthouse Loft in Zurich 8008 City Near Lake,2017-05-18 17:42:44.406474,47.360698,8.549997,0101000020E6100000D5CBEF3499192140C6DD205A2BAE4740
8658898,1286,23561865,Entire home/apt,,Zurich,,Kreis 1,91,5.0,4,1.0,,152.0,,Charming 1BD flat / old town UZ16,2017-05-18 17:42:44.302391,47.371075,8.544563,0101000020E61000002A3927F6D01621407DAEB6627FAF4740
13026652,1286,1032747,Entire home/apt,,Zurich,,Kreis 5,13,5.0,3,1.0,,147.0,,new apartment in Zurich´s most trendy area,2017-05-18 17:42:44.250920,47.38891,8.520769,0101000020E61000008F8AFF3BA20A21402F8B89CDC7B14740
18644051,1286,2464873,Entire home/apt,,Zurich,,Kreis 7,0,0.0,5,2.0,,136.0,,"Near center and lake: spacious, sunny apartment",2017-05-18 17:42:42.681566,47.369597,8.552297,0101000020E61000009A5B21ACC61A214090D959F44EAF4740
15167218,1286,50348083,Entire home/apt,,Zurich,,Kreis 6,8,3.5,2,0.0,,126.0,,Swiss Star University - Studio,2017-05-18 17:42:41.485111,47.383368,8.548059,0101000020E6100000938E72309B1821409D2ADF3312B14740
16552079,1286,8855997,Entire home/apt,,Zurich,,Kreis 8,1,0.0,3,2.0,,126.0,,Four-room flat in the lovely lakeside quarter,2017-05-18 17:42:41.331724,47.356599,8.552442,0101000020E6100000A8DF85ADD91A2140A6643909A5AD4740
6442816,1286,12444393,Entire home/apt,,Zurich,,Kreis 2,2,0.0,4,2.0,,126.0,,2 bedroom lake view apartment,2017-05-18 17:42:41.328904,47.34231,8.534259,0101000020E6100000F52F49658A112140008C67D0D0AB4740
418818,1286,2082742,Entire home/apt,,Zurich,,Kreis 3,20,4.0,3,1.0,,136.0,,Modern Furnished Apartment Zurich,2017-05-18 17:42:39.807330,47.375719,8.51291,0101000020E61000002D95B7239C0621402FBE688F17B04740
6712153,1286,35140140,Entire home/apt,,Zurich,,Kreis 5,0,0.0,2,0.0,,126.0,,"Charmantes, brandneues Studio",2017-05-18 17:42:39.733256,47.390577,8.510318,0101000020E6100000C91EA16648052140EFC8586DFEB14740
14667601,1286,74139449,Entire home/apt,,Zurich,,Kreis 4,0,0.0,2,1.0,,131.0,,modern 2 bedroom apartment in the center of Zürich,2017-05-18 17:42:37.918336,47.376006,8.520152,0101000020E6100000E2E5E95C510A2140C58CF0F620B04740
5514694,1286,2126702,Entire home/apt,,Zurich,,Kreis 7,4,5.0,4,2.0,,136.0,,Central 3.5 Room with big balcony.,2017-05-18 17:42:36.793032,47.367759,8.559125,0101000020E610000083C0CAA1451E2140A3E716BA12AF4740
6181046,1286,26405020,Entire home/apt,,Zurich,,Kreis 7,12,4.5,4,1.0,,126.0,,Close to old town and lake,2017-05-18 17:42:34.840656,47.363441,8.565882,0101000020E610000047CA1649BB2121404583143C85AE4740
6978438,1286,13570663,Entire home/apt,,Zurich,,Kreis 1,56,4.5,3,0.0,,126.0,,Like a Junior Suite in the Oldtown,2017-05-18 17:42:34.833331,47.371446,8.544336,0101000020E610000027124C35B3162140711DE38A8BAF4740
10976796,1286,2020044,Entire home/apt,,Zurich,,Kreis 6,0,0.0,2,1.0,,126.0,,perfect located apt for 2 in Zurich,2017-05-18 17:42:34.829332,47.393998,8.541524,0101000020E61000008BFF3BA2421521403F58C6866EB24740
15158372,1286,50348083,Entire home/apt,,Zurich,,Kreis 3,21,4.0,2,0.0,,136.0,,Swiss Star Sihlfeld - Studio #01,2017-05-18 17:42:34.809242,47.366876,8.522307,0101000020E610000099F1B6D26B0B2140F9D7F2CAF5AE4740
12440404,1286,14275689,Entire home/apt,,Zurich,,Kreis 5,4,5.0,4,2.0,,126.0,,Rooftop Apartment over Zurich,2017-05-18 17:42:34.792740,47.391993,8.511504,0101000020E6100000DF8B2FDAE305214066A19DD32CB24740
8803591,1286,16703823,Entire home/apt,,Zurich,,Kreis 4,2,0.0,2,0.0,,135.0,,▫ STYLED JUNIOR STUDIOS next to Europaallee!,2017-05-18 17:42:34.786882,47.376355,8.531682,0101000020E610000066BE839F38102140D15790662CB04740
16115960,1286,21325445,Entire home/apt,,Zurich,,Kreis 5,0,0.0,2,2.0,,126.0,,Urban living in a 159qm Maisonette with Balcony,2017-05-18 17:42:33.001302,47.391619,8.519949,0101000020E6100000022D5DC1360A214001BF469220B24740
10702648,1286,37130752,Entire home/apt,,Zurich,,Kreis 5,0,0.0,5,2.0,,134.0,,Two floor flat in the center of ZH,2017-05-18 17:42:32.987194,47.383131,8.528236,0101000020E6100000C423F1F2740E2140B98AC56F0AB14740
13254611,1286,40922461,Entire home/apt,,Zurich,,Kreis 3,1,0.0,4,1.0,,136.0,,Really nice Loft in Zürich,2017-05-18 17:42:32.958776,47.377706,8.499194,0101000020E610000006B8205B96FF204062C092AB58B04740
16922312,1286,3595520,Entire home/apt,,Zurich,,Kreis 4,0,0.0,2,1.0,,136.0,,"COZY, COMFORTABLE, CENTRAL",2017-05-18 17:42:32.898020,47.373899,8.525568,0101000020E6100000F4A5B73F170D2140E98024ECDBAF4740
